"","geneName","teName","coef.x","pvalue","padj","pair","age","coef.y","sign"
"32","ZNF33A","MLT1G",0.783277672468592,2.31208554921266e-09,4.34600121757423e-08,"MLT1G:ZNF33A","old",-0.45546219142787,"opposite"
"33","ZNF136","L1M4b",-0.714117591751059,2.29011405045058e-07,1.98707915413226e-06,"L1M4b:ZNF136","old",-0.432559231327786,"same"
"34","ZNF418","MER31B",0.701100883863714,4.69500155523988e-07,3.64471525710517e-06,"MER31B:ZNF418","old",0.383219094739929,"same"
"35","ZNF675","THE1A-int",0.852573793291579,2.91823717475548e-12,2.25123805459667e-10,"THE1A-int:ZNF675","young",-0.386113583660146,"opposite"
"36","ZNF84","L1P3",-0.718082924391525,1.82589453199951e-07,1.64077768314349e-06,"L1P3:ZNF84","old",0.521784863775317,"opposite"
"37","ZNF334","ERVL-E-int",0.78401524427187,2.18226657079969e-09,4.14957769444427e-08,"ERVL-E-int:ZNF334","old",0.366256175752491,"same"
"38","ZNF425","LTR26",0.706765381547005,3.45151850508859e-07,2.80713073149726e-06,"LTR26:ZNF425","old",0.43709117887758,"same"
"39","ZNF425","LTR71B",0.656159465348005,4.29070673090269e-06,2.41907801752041e-05,"LTR71B:ZNF425","young",0.472024083917705,"same"
"40","ZNF736","MER52A",0.759765963305529,1.30790925288991e-08,1.81467844833142e-07,"MER52A:ZNF736","young",0.42414710853821,"same"
"41","ZNF324B","Tigger2",0.645439212093399,6.8976746209013e-06,3.65377660689757e-05,"Tigger2:ZNF324B","old",0.51063427996113,"same"
"42","ZNF432","MER57C1",-0.639233938622465,9.00422994537463e-06,4.60758758028078e-05,"MER57C1:ZNF432","old",-0.372014893662325,"same"
"43","ZNF10","L1MB5",0.676251990186515,1.67255626579512e-06,1.07586617559712e-05,"L1MB5:ZNF10","old",-0.504280494412941,"opposite"
"44","ZNF10","L1ME3",0.737116465641519,5.82369570283107e-08,6.27486640011782e-07,"L1ME3:ZNF10","old",-0.487085527467502,"opposite"
"45","ZNF10","L1ME3A",0.724706621832687,1.23993616459631e-07,1.18645892785471e-06,"L1ME3A:ZNF10","old",-0.373018322138969,"opposite"
