"positive_count","negative_count","label"
31802,22313,"hm_cluster1"
23779,13691,"hm_cluster1"
26624,15701,"hm_cluster1"
23320,14794,"hm_cluster1"
28289,16069,"hm_cluster1"
27151,15066,"hm_cluster1"
29426,17229,"hm_cluster1"
29007,16794,"hm_cluster1"
32392,21899,"hm_cluster1"
26024,13878,"hm_cluster1"
32202,18576,"hm_cluster1"
29526,15456,"hm_cluster1"
25829,15702,"hm_cluster1"
25003,16015,"hm_cluster1"
26338,16686,"hm_cluster1"
30011,17959,"hm_cluster1"
28294,16908,"hm_cluster1"
26348,19137,"hm_cluster1"
24591,14927,"hm_cluster1"
21994,14044,"hm_cluster1"
29858,14417,"hm_cluster1"
25769,16653,"hm_cluster1"
24745,14041,"hm_cluster1"
27821,15671,"hm_cluster1"
24130,16847,"hm_cluster1"
27142,20546,"hm_cluster1"
25377,16906,"hm_cluster1"
25880,19799,"hm_cluster1"
21690,14163,"hm_cluster1"
27271,15831,"hm_cluster1"
24855,17900,"hm_cluster1"
28094,15202,"hm_cluster1"
32708,18980,"hm_cluster1"
27401,14351,"hm_cluster1"
27455,15405,"hm_cluster1"
26993,16639,"hm_cluster1"
23220,17040,"hm_cluster1"
21524,14406,"hm_cluster1"
33197,19254,"hm_cluster1"
22971,15940,"hm_cluster1"
24112,12958,"hm_cluster1"
18460,10180,"hm_cluster1"
24623,12330,"hm_cluster1"
27298,15657,"hm_cluster1"
28472,17355,"hm_cluster1"
21721,15060,"hm_cluster1"
22214,18396,"hm_cluster1"
29563,15937,"hm_cluster1"
23051,13877,"hm_cluster1"
22187,12733,"hm_cluster1"
32008,17948,"hm_cluster1"
25391,14455,"hm_cluster1"
26725,19423,"hm_cluster1"
29323,19736,"hm_cluster1"
25098,19112,"hm_cluster1"
26316,13009,"hm_cluster1"
25328,19947,"hm_cluster1"
30505,18546,"hm_cluster1"
25187,20607,"hm_cluster1"
22174,14105,"hm_cluster1"
25026,17113,"hm_cluster1"
20838,11338,"hm_cluster1"
33338,17103,"hm_cluster1"
22089,13918,"hm_cluster1"
