"geneName","teName","coef","pair","group","age"
"ZNF337","L1M4c",-0.724648489974835,"L1M4c:ZNF337","negative","young"
"ZNF337","L1MA4A",-0.485782449077412,"L1MA4A:ZNF337","negative","young"
"ZNF337","L1MA5",-0.541510478956382,"L1MA5:ZNF337","negative","young"
"ZNF337","L1PBa",-0.598614391322806,"L1PBa:ZNF337","negative","young"
"ZNF337","MER54A",0.725563349579529,"MER54A:ZNF337","positive","young"
"ZNF317","HAL1",-0.452089339204741,"HAL1:ZNF317","negative","old"
"ZNF317","L1M4c",-0.456527134078678,"L1M4c:ZNF317","negative","old"
"ZNF317","L1MB4",0.561014002819878,"L1MB4:ZNF317","positive","old"
"ZNF317","L1MB5",0.632383415349174,"L1MB5:ZNF317","positive","old"
"ZNF317","L1MB7",0.642703075167959,"L1MB7:ZNF317","positive","old"
"ZNF317","L1MB8",0.668864303846482,"L1MB8:ZNF317","positive","old"
"ZNF317","L1MCa",-0.453321727542866,"L1MCa:ZNF317","negative","old"
"ZNF317","L1MDa",-0.447790129705128,"L1MDa:ZNF317","negative","old"
"ZNF317","L1ME3",0.589346137235191,"L1ME3:ZNF317","positive","old"
"ZNF317","L1ME3A",0.660874062191774,"L1ME3A:ZNF317","positive","old"
"ZNF317","LTR55",0.622983621205287,"LTR55:ZNF317","positive","old"
"ZNF331","MLT1F1",0.868061360770874,"MLT1F1:ZNF331","positive","old"
"ZNF331","MLT1F",0.839498849376294,"MLT1F:ZNF331","positive","old"
"ZNF331","MLT1G1",0.842958365865023,"MLT1G1:ZNF331","positive","old"
"ZNF331","MLT1G3",0.850703220539214,"MLT1G3:ZNF331","positive","old"
"ZNF331","MLT1G",0.799455618644304,"MLT1G:ZNF331","positive","old"
"ZNF331","MLT1H1",0.824960927580511,"MLT1H1:ZNF331","positive","old"
"ZNF331","MLT1H2",0.843409779603538,"MLT1H2:ZNF331","positive","old"
"ZNF331","MLT1H",0.841929616838652,"MLT1H:ZNF331","positive","old"
"ZNF141","HUERS-P3-int",-0.635964637949806,"HUERS-P3-int:ZNF141","negative","young"
"ZNF141","HUERS-P3b-int",-0.504351015691504,"HUERS-P3b-int:ZNF141","negative","young"
"ZNF141","L1M2c",0.557350679972472,"L1M2c:ZNF141","positive","young"
"ZNF141","L1P1",0.506124711568514,"L1P1:ZNF141","positive","young"
"ZNF141","L1P3",0.512182391810653,"L1P3:ZNF141","positive","young"
"ZNF141","LTR13",-0.577810139668176,"LTR13:ZNF141","negative","young"
"ZNF141","LTR17",-0.464221348756981,"LTR17:ZNF141","negative","young"
"ZNF141","LTR25-int",-0.546305953673599,"LTR25-int:ZNF141","negative","young"
"ZNF141","LTR27B",-0.518850532583406,"LTR27B:ZNF141","negative","young"
"ZNF141","MER11D",-0.569907829677007,"MER11D:ZNF141","negative","young"
"ZNF141","SVA_D",-0.504196305582872,"SVA_D:ZNF141","negative","young"
"ZNF304","LTR8A",0.76911501876725,"LTR8A:ZNF304","positive","young"
"ZNF304","MLT1E1",0.759699512807721,"MLT1E1:ZNF304","positive","old"
"ZNF304","MLT1E1A",0.760909509388808,"MLT1E1A:ZNF304","positive","old"
"ZNF304","MLT1E2",0.794308298209182,"MLT1E2:ZNF304","positive","old"
"ZNF304","MLT1F1",0.836748378971339,"MLT1F1:ZNF304","positive","old"
"ZNF304","MLT1F2",0.850378813446055,"MLT1F2:ZNF304","positive","old"
"ZNF304","MLT1F",0.789747832153158,"MLT1F:ZNF304","positive","old"
"ZNF304","MLT1G3",0.809120477792797,"MLT1G3:ZNF304","positive","old"
"ZNF304","MLT1H1",0.81071001710546,"MLT1H1:ZNF304","positive","old"
"ZNF132","LTR16B1",0.53181367360139,"LTR16B1:ZNF132","positive","old"
"ZNF132","LTR16B2",0.586967594400472,"LTR16B2:ZNF132","positive","old"
"ZNF132","LTR16B",0.748257008054523,"LTR16B:ZNF132","positive","old"
"ZNF189","L2a",0.784210907372165,"L2a:ZNF189","positive","old"
"ZNF189","L2b",0.767545691810857,"L2b:ZNF189","positive","old"
"ZNF189","L2c",0.778019688707836,"L2c:ZNF189","positive","old"
"ZNF189","LTR41",0.837110137008777,"LTR41:ZNF189","positive","old"
"ZNF189","LTR9",0.611310179728868,"LTR9:ZNF189","positive","young"
"ZIM3","L1M1",0.677799930022654,"L1M1:ZIM3","positive","old"
"ZIM3","L1M2",0.679747581853485,"L1M2:ZIM3","positive","old"
"ZIM3","L1M2a",0.594732398248612,"L1M2a:ZIM3","positive","old"
"ZIM3","L1M2c",0.61212609196799,"L1M2c:ZIM3","positive","old"
"ZIM3","L1M3c",0.647984350212027,"L1M3c:ZIM3","positive","old"
"ZIM3","L1M3f",0.682942167822279,"L1M3f:ZIM3","positive","old"
"ZIM3","L1MA4",0.619533480810653,"L1MA4:ZIM3","positive","old"
"ZIM3","L1MA4A",0.622918118881992,"L1MA4A:ZIM3","positive","old"
"ZIM3","L1MA5",0.554351219432237,"L1MA5:ZIM3","positive","old"
"ZIM3","L1MCa",0.593198180965479,"L1MCa:ZIM3","positive","old"
"ZIM3","L1MCc",0.638418764830166,"L1MCc:ZIM3","positive","old"
"ZIM3","L1MDa",0.571232523708905,"L1MDa:ZIM3","positive","old"
"ZIM3","L1MEb",0.585098200186617,"L1MEb:ZIM3","positive","old"
"ZIM3","L1MEc",0.570513488358725,"L1MEc:ZIM3","positive","old"
"ZIM3","L1MEf",0.517144352013065,"L1MEf:ZIM3","positive","old"
"ZIM3","L1PA10",0.621633640699174,"L1PA10:ZIM3","positive","old"
"ZIM3","L1PA15-16",0.638962981769386,"L1PA15-16:ZIM3","positive","old"
"ZIM3","L1PA8A",0.569873304796438,"L1PA8A:ZIM3","positive","old"
"ZIM3","LTR41",-0.662597352151992,"LTR41:ZIM3","negative","old"
"ZIM3","LTR67B",-0.601128505120328,"LTR67B:ZIM3","negative","old"
"ZIM3","MER57E1",-0.601458079703226,"MER57E1:ZIM3","negative","old"
"ZIM3","MER75",-0.538472115734371,"MER75:ZIM3","negative","young"
"ZIM3","MLT1D",-0.623376743498322,"MLT1D:ZIM3","negative","old"
"ZIM3","MLT1E1",-0.556703052230101,"MLT1E1:ZIM3","negative","old"
"ZIM3","MLT1E1A",-0.478459003044785,"MLT1E1A:ZIM3","negative","old"
"ZIM3","MLT1E2",-0.551026957331217,"MLT1E2:ZIM3","negative","old"
"ZIM3","MLT1J",-0.660971427677102,"MLT1J:ZIM3","negative","old"
"ZIM3","MLT1K",-0.512786795225308,"MLT1K:ZIM3","negative","old"
"ZIM3","MLT1L",-0.605478582580779,"MLT1L:ZIM3","negative","old"
"ZIM3","MLT1N2",-0.449947775714072,"MLT1N2:ZIM3","negative","old"
"ZIM3","MSTC",-0.587748632864895,"MSTC:ZIM3","negative","old"
"ZIM3","THE1A",-0.648443474565619,"THE1A:ZIM3","negative","young"
"ZNF182","AluY",-0.46153387825609,"AluY:ZNF182","negative","old"
"ZNF182","AluYc",-0.512835284079219,"AluYc:ZNF182","negative","old"
"ZNF182","HAL1",-0.544696883128189,"HAL1:ZNF182","negative","old"
"ZNF182","L1M4c",-0.51538209212564,"L1M4c:ZNF182","negative","old"
"ZNF182","L1MDa",-0.492791210931576,"L1MDa:ZNF182","negative","old"
"ZNF182","L1MEc",-0.449577905620275,"L1MEc:ZNF182","negative","old"
"ZNF182","L1MEf",-0.493262718226967,"L1MEf:ZNF182","negative","old"
"ZNF182","L1MEg",-0.449624671623563,"L1MEg:ZNF182","negative","old"
"ZNF182","L1PA2",-0.499725815251463,"L1PA2:ZNF182","negative","old"
"ZNF776","MSTA",0.863858469538547,"MSTA:ZNF776","positive","young"
"ZNF776","MSTB1",0.840737113910042,"MSTB1:ZNF776","positive","young"
"ZNF776","MSTB",0.758604390830573,"MSTB:ZNF776","positive","young"
"ZNF222","HUERS-P3-int",0.454203410996802,"HUERS-P3-int:ZNF222","positive","young"
"ZNF222","LTR41",0.474488969006376,"LTR41:ZNF222","positive","young"
"ZNF222","MER20",0.458588109561067,"MER20:ZNF222","positive","young"
"ZNF714","HERVK22-int",-0.606024676814724,"HERVK22-int:ZNF714","negative","young"
"ZNF714","LTR13",-0.734446236762343,"LTR13:ZNF714","negative","young"
"ZNF714","LTR50",-0.698086078652433,"LTR50:ZNF714","negative","young"
"ZNF714","MER61E",-0.56706446697636,"MER61E:ZNF714","negative","young"
"ZNF333","LTR13_",0.720218060108367,"LTR13_:ZNF333","positive","old"
"ZNF333","MLT1G",0.867589154112947,"MLT1G:ZNF333","positive","old"
"ZNF333","MLT1H2",0.797989232314317,"MLT1H2:ZNF333","positive","old"
"ZNF333","MLT1H",0.879405912714364,"MLT1H:ZNF333","positive","old"
"ZNF333","MLT1I",0.878354609874142,"MLT1I:ZNF333","positive","old"
"ZNF333","MLT1J1",0.814004855456491,"MLT1J1:ZNF333","positive","old"
"ZNF333","MLT1J2",0.8451440768358,"MLT1J2:ZNF333","positive","old"
"ZNF333","MLT1J",0.822934204547481,"MLT1J:ZNF333","positive","old"
"ZNF382","L1HS",-0.803535864426246,"L1HS:ZNF382","negative","old"
"ZNF382","L1M1",-0.732296066634696,"L1M1:ZNF382","negative","old"
"ZNF382","L1M2",-0.646277710318798,"L1M2:ZNF382","negative","old"
"ZNF382","L1M2a",-0.466675658016494,"L1M2a:ZNF382","negative","old"
"ZNF382","L1M3",-0.556418749133622,"L1M3:ZNF382","negative","old"
"ZNF382","L1M4",-0.52752584645837,"L1M4:ZNF382","negative","old"
"ZNF382","L1M4c",-0.792370010182391,"L1M4c:ZNF382","negative","old"
"ZNF382","L1MA2",-0.623673783150311,"L1MA2:ZNF382","negative","old"
"ZNF382","L1MA3",-0.661164799160195,"L1MA3:ZNF382","negative","old"
"ZNF382","L1MA4",-0.622120768221024,"L1MA4:ZNF382","negative","old"
"ZNF382","L1MA4A",-0.596989058316209,"L1MA4A:ZNF382","negative","old"
"ZNF382","L1MA5",-0.553854506612367,"L1MA5:ZNF382","negative","old"
"ZNF382","L1MA8",-0.462699900139713,"L1MA8:ZNF382","negative","old"
