"label","group","count"
"cbe_control","positive",5670
"cbe_control","negative",3298
"cbe_control","all",8968
"cbe_control","positive",6806
"cbe_control","negative",4754
"cbe_control","all",11560
"cbe_control","positive",5945
"cbe_control","negative",3793
"cbe_control","all",9738
"cbe_control","positive",4781
"cbe_control","negative",3036
"cbe_control","all",7817
"cbe_control","positive",5345
"cbe_control","negative",3627
"cbe_control","all",8972
"cbe_control","positive",5364
"cbe_control","negative",3330
"cbe_control","all",8694
"cbe_control","positive",5021
"cbe_control","negative",3033
"cbe_control","all",8054
"cbe_control","positive",7056
"cbe_control","negative",5022
"cbe_control","all",12078
"cbe_control","positive",6855
"cbe_control","negative",4497
"cbe_control","all",11352
"cbe_control","positive",5687
"cbe_control","negative",3812
"cbe_control","all",9499
"cbe_control","positive",4757
"cbe_control","negative",2639
"cbe_control","all",7396
"cbe_control","positive",5243
"cbe_control","negative",3279
"cbe_control","all",8522
"cbe_control","positive",4808
"cbe_control","negative",2844
"cbe_control","all",7652
"cbe_control","positive",3692
"cbe_control","negative",1916
"cbe_control","all",5608
"cbe_control","positive",6243
"cbe_control","negative",3840
"cbe_control","all",10083
"cbe_control","positive",6117
"cbe_control","negative",3753
"cbe_control","all",9870
"cbe_control","positive",6990
"cbe_control","negative",4589
"cbe_control","all",11579
"cbe_control","positive",6506
"cbe_control","negative",4621
"cbe_control","all",11127
"cbe_control","positive",4584
"cbe_control","negative",3202
"cbe_control","all",7786
"cbe_control","positive",5612
"cbe_control","negative",3559
"cbe_control","all",9171
"cbe_control","positive",6973
"cbe_control","negative",4483
"cbe_control","all",11456
"cbe_control","positive",6576
"cbe_control","negative",4091
"cbe_control","all",10667
"cbe_control","positive",4739
"cbe_control","negative",3168
"cbe_control","all",7907
"cbe_control","positive",6268
"cbe_control","negative",4364
"cbe_control","all",10632
"cbe_control","positive",5080
"cbe_control","negative",3163
"cbe_control","all",8243
"cbe_control","positive",6012
"cbe_control","negative",3936
"cbe_control","all",9948
"cbe_control","positive",5281
"cbe_control","negative",3536
"cbe_control","all",8817
"cbe_control","positive",7581
"cbe_control","negative",4848
"cbe_control","all",12429
"cbe_control","positive",5158
"cbe_control","negative",3419
"cbe_control","all",8577
"cbe_control","positive",6738
"cbe_control","negative",4340
"cbe_control","all",11078
"cbe_control","positive",5871
"cbe_control","negative",3555
"cbe_control","all",9426
"cbe_control","positive",7386
"cbe_control","negative",4653
"cbe_control","all",12039
"cbe_control","positive",5328
"cbe_control","negative",3143
"cbe_control","all",8471
"cbe_control","positive",5759
"cbe_control","negative",4067
"cbe_control","all",9826
"cbe_control","positive",5986
"cbe_control","negative",3584
"cbe_control","all",9570
"cbe_control","positive",5183
"cbe_control","negative",3336
"cbe_control","all",8519
"cbe_control","positive",4822
"cbe_control","negative",2725
"cbe_control","all",7547
"cbe_control","positive",5675
"cbe_control","negative",3586
"cbe_control","all",9261
"cbe_control","positive",5092
"cbe_control","negative",2914
"cbe_control","all",8006
"cbe_control","positive",6316
"cbe_control","negative",4316
"cbe_control","all",10632
"cbe_control","positive",5387
"cbe_control","negative",3413
"cbe_control","all",8800
"cbe_control","positive",5009
"cbe_control","negative",2633
"cbe_control","all",7642
"cbe_control","positive",5522
"cbe_control","negative",3589
"cbe_control","all",9111
"cbe_control","positive",4870
"cbe_control","negative",2722
"cbe_control","all",7592
"cbe_control","positive",5533
"cbe_control","negative",3377
"cbe_control","all",8910
"cbe_control","positive",5357
"cbe_control","negative",3306
"cbe_control","all",8663
"cbe_control","positive",6187
"cbe_control","negative",4170
"cbe_control","all",10357
"cbe_control","positive",8213
"cbe_control","negative",5499
"cbe_control","all",13712
"cbe_control","positive",6154
"cbe_control","negative",3932
"cbe_control","all",10086
"cbe_control","positive",5604
"cbe_control","negative",3616
"cbe_control","all",9220
"cbe_control","positive",7252
"cbe_control","negative",4924
"cbe_control","all",12176
"cbe_control","positive",4573
"cbe_control","negative",3092
"cbe_control","all",7665
"cbe_control","positive",4798
"cbe_control","negative",3247
"cbe_control","all",8045
"cbe_control","positive",5581
"cbe_control","negative",3565
"cbe_control","all",9146
"cbe_control","positive",5334
"cbe_control","negative",3388
"cbe_control","all",8722
"cbe_control","positive",3567
"cbe_control","negative",2139
"cbe_control","all",5706
"cbe_control","positive",6432
"cbe_control","negative",4138
"cbe_control","all",10570
"cbe_control","positive",7143
"cbe_control","negative",4735
"cbe_control","all",11878
"cbe_control","positive",6179
"cbe_control","negative",3985
"cbe_control","all",10164
"cbe_control","positive",4736
"cbe_control","negative",2907
"cbe_control","all",7643
"cbe_control","positive",4299
"cbe_control","negative",2657
"cbe_control","all",6956
"cbe_control","positive",5640
"cbe_control","negative",3611
"cbe_control","all",9251
"cbe_control","positive",5894
"cbe_control","negative",3938
