"repName","repClass","repFamily","species","clade","age"
"X13_LINE","LINE","L2","Mammalia","Amniota.","old"
"MamRep605","LTR","LTR","Eutheria","Theria <mammals>.","old"
"MER131","DNA","DNA","Amniota","Tetrapoda.","old"
"DNA1_Mam","DNA","TcMar-Tc1","Eutheria","Theria <mammals>.","old"
"MER124","DNA","DNA","Theria <mammals>","Mammalia.","old"
"X9a_DNA","DNA","DNA","Mammalia","Amniota.","old"
"X15_LINE","LINE","L2","Mammalia","Amniota.","old"
"LTR33A_v","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"EuthAT-N1","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"Tigger17d","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"MamRep605b","LTR","LTR","Theria <mammals>","Mammalia.","old"
"LTR85a","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"hAT-N1a_Mam","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"X24_LINE","LINE","L2","Mammalia","Amniota.","old"
"LTR87","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Charlie30b","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"LTR12_v","LTR","ERV1","Catarrhini","Simiiformes.","young"
"LTR3B_v","LTR","ERVK","Catarrhini","Simiiformes.","young"
"X1_DNA","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"EUTREP16","LTR","LTR","Eutheria","Theria <mammals>.","old"
"LTR103_Mam","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"UCON34","DNA","hAT-Charlie","Mammalia","Amniota.","old"
"MamRep1151","LTR","LTR","Eutheria","Theria <mammals>.","old"
"LTR85b","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"Charlie29b","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"EuthAT-2","DNA","hAT-Ac","Eutheria","Theria <mammals>.","old"
"ERV3-16A3_I","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"X34_DNA","DNA","DNA","Mammalia","Amniota.","old"
"Eutr11","DNA","DNA","Eutheria","Theria <mammals>.","old"
"UCON15","DNA","hAT-Ac","Amniota","Tetrapoda.","old"
"MER134","DNA","Crypton","Amniota","Tetrapoda.","old"
"X17_LINE","LINE","CR1","Mammalia","Amniota.","old"
"Tigger23a","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"X4b_DNA","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"UCON4","DNA","DNA","Amniota","Tetrapoda.","old"
"X2b_DNA","DNA","DNA","Mammalia","Amniota.","old"
