"geneName","teName","coef","pair","group"
"ZIM3","L1M3f",0.682942167822279,"L1M3f:ZIM3","positive"
"ZIM3","L1MA4",0.619533480810653,"L1MA4:ZIM3","positive"
"ZIM3","L1MA4A",0.622918118881992,"L1MA4A:ZIM3","positive"
"ZIM3","L1MA5",0.554351219432237,"L1MA5:ZIM3","positive"
"ZIM3","L1MCa",0.593198180965479,"L1MCa:ZIM3","positive"
"ZIM3","L1MCc",0.638418764830166,"L1MCc:ZIM3","positive"
"ZIM3","L1MDa",0.571232523708905,"L1MDa:ZIM3","positive"
"ZIM3","L1MEb",0.585098200186617,"L1MEb:ZIM3","positive"
"ZIM3","L1MEc",0.570513488358725,"L1MEc:ZIM3","positive"
"ZIM3","L1MEf",0.517144352013065,"L1MEf:ZIM3","positive"
"ZIM3","L1PA10",0.621633640699174,"L1PA10:ZIM3","positive"
"ZIM3","L1PA15-16",0.638962981769386,"L1PA15-16:ZIM3","positive"
"ZIM3","L1PA8A",0.569873304796438,"L1PA8A:ZIM3","positive"
"ZIM3","LTR41",-0.662597352151992,"LTR41:ZIM3","negative"
"ZIM3","LTR67B",-0.601128505120328,"LTR67B:ZIM3","negative"
"ZIM3","MER57E1",-0.601458079703226,"MER57E1:ZIM3","negative"
"ZIM3","MER75",-0.538472115734371,"MER75:ZIM3","negative"
"ZIM3","MLT1D",-0.623376743498322,"MLT1D:ZIM3","negative"
"ZIM3","MLT1E1",-0.556703052230101,"MLT1E1:ZIM3","negative"
"ZIM3","MLT1E1A",-0.478459003044785,"MLT1E1A:ZIM3","negative"
"ZIM3","MLT1E2",-0.551026957331217,"MLT1E2:ZIM3","negative"
"ZIM3","MLT1J",-0.660971427677102,"MLT1J:ZIM3","negative"
"ZIM3","MLT1K",-0.512786795225308,"MLT1K:ZIM3","negative"
"ZIM3","MLT1L",-0.605478582580779,"MLT1L:ZIM3","negative"
"ZIM3","MLT1N2",-0.449947775714072,"MLT1N2:ZIM3","negative"
"ZIM3","MSTC",-0.587748632864895,"MSTC:ZIM3","negative"
"ZIM3","THE1A",-0.648443474565619,"THE1A:ZIM3","negative"
"ZNF182","AluY",-0.46153387825609,"AluY:ZNF182","negative"
"ZNF182","AluYc",-0.512835284079219,"AluYc:ZNF182","negative"
"ZNF182","HAL1",-0.544696883128189,"HAL1:ZNF182","negative"
"ZNF182","L1M4c",-0.51538209212564,"L1M4c:ZNF182","negative"
"ZNF182","L1MDa",-0.492791210931576,"L1MDa:ZNF182","negative"
"ZNF182","L1MEc",-0.449577905620275,"L1MEc:ZNF182","negative"
"ZNF182","L1MEf",-0.493262718226967,"L1MEf:ZNF182","negative"
"ZNF182","L1MEg",-0.449624671623563,"L1MEg:ZNF182","negative"
"ZNF182","L1PA2",-0.499725815251463,"L1PA2:ZNF182","negative"
"ZNF222","HUERS-P3-int",0.454203410996802,"HUERS-P3-int:ZNF222","positive"
"ZNF222","LTR41",0.474488969006376,"LTR41:ZNF222","positive"
"ZNF222","MER20",0.458588109561067,"MER20:ZNF222","positive"
"ZNF714","HERVK22-int",-0.606024676814724,"HERVK22-int:ZNF714","negative"
"ZNF333","LTR13_",0.720218060108367,"LTR13_:ZNF333","positive"
"ZNF333","MLT1G",0.867589154112947,"MLT1G:ZNF333","positive"
"ZNF333","MLT1H2",0.797989232314317,"MLT1H2:ZNF333","positive"
"ZNF333","MLT1H",0.879405912714364,"MLT1H:ZNF333","positive"
"ZNF333","MLT1I",0.878354609874142,"MLT1I:ZNF333","positive"
