"count","group"
39939,"cluster1"
42181,"cluster1"
39296,"cluster1"
39034,"cluster1"
45019,"cluster1"
42781,"cluster1"
47470,"cluster1"
41991,"cluster1"
41172,"cluster1"
41080,"cluster1"
40562,"cluster1"
41779,"cluster1"
42127,"cluster1"
42125,"cluster1"
36247,"cluster1"
45644,"cluster1"
43233,"cluster1"
49734,"cluster1"
54033,"cluster1"
50836,"cluster1"
34177,"cluster1"
44207,"cluster1"
47545,"cluster1"
47296,"cluster1"
49966,"cluster1"
42488,"cluster1"
45305,"cluster1"
50449,"cluster1"
41372,"cluster1"
44802,"cluster1"
41718,"cluster1"
38378,"cluster1"
42201,"cluster1"
45569,"cluster1"
34055,"cluster1"
43727,"cluster1"
47341,"cluster1"
45497,"cluster1"
32021,"cluster1"
38738,"cluster1"
37802,"cluster1"
45843,"cluster1"
42109,"cluster1"
39437,"cluster1"
43046,"cluster1"
40730,"cluster1"
47220,"cluster1"
39246,"cluster1"
49971,"cluster1"
42188,"cluster1"
42504,"cluster1"
41865,"cluster1"
48139,"cluster1"
46100,"cluster1"
55793,"cluster1"
38216,"cluster1"
48410,"cluster1"
44642,"cluster1"
43652,"cluster1"
46900,"cluster1"
46609,"cluster1"
40509,"cluster1"
51351,"cluster1"
36662,"cluster1"
36620,"cluster1"
44195,"cluster1"
45439,"cluster1"
40311,"cluster1"
37976,"cluster1"
47946,"cluster1"
44762,"cluster1"
39990,"cluster1"
48987,"cluster1"
50860,"cluster1"
43757,"cluster1"
47482,"cluster1"
39261,"cluster1"
42473,"cluster1"
39323,"cluster1"
45687,"cluster1"
50135,"cluster1"
37820,"cluster1"
40536,"cluster1"
41403,"cluster1"
38889,"cluster1"
53506,"cluster1"
47470,"cluster1"
41398,"cluster1"
49981,"cluster1"
49915,"cluster1"
43402,"cluster1"
49026,"cluster1"
40738,"cluster1"
50112,"cluster1"
36394,"cluster1"
36141,"cluster1"
45932,"cluster1"
40029,"cluster1"
42705,"cluster1"
42230,"cluster1"
35949,"cluster1"
49343,"cluster1"
42554,"cluster1"
42359,"cluster1"
41837,"cluster1"
48224,"cluster1"
48818,"cluster1"
35936,"cluster1"
41044,"cluster1"
39039,"cluster1"
44948,"cluster1"
38016,"cluster1"
47447,"cluster1"
39962,"cluster1"
40520,"cluster1"
42875,"cluster1"
53494,"cluster1"
39385,"cluster1"
45312,"cluster1"
42457,"cluster1"
46560,"cluster1"
44522,"cluster1"
33937,"cluster1"
42322,"cluster1"
44922,"cluster1"
52054,"cluster1"
44274,"cluster1"
45771,"cluster1"
49106,"cluster1"
42290,"cluster1"
43058,"cluster1"
49432,"cluster1"
36606,"cluster1"
48722,"cluster1"
46356,"cluster1"
40302,"cluster1"
43584,"cluster1"
42675,"cluster1"
49287,"cluster1"
37670,"cluster1"
39872,"cluster1"
40493,"cluster1"
50128,"cluster1"
35319,"cluster1"
36687,"cluster1"
42827,"cluster1"
44879,"cluster1"
46452,"cluster1"
46151,"cluster1"
47549,"cluster1"
44971,"cluster1"
40875,"cluster1"
41600,"cluster1"
46623,"cluster1"
41191,"cluster1"
44946,"cluster1"
46589,"cluster1"
49297,"cluster1"
47360,"cluster1"
45509,"cluster1"
45125,"cluster1"
54182,"cluster1"
38476,"cluster1"
40976,"cluster1"
38144,"cluster1"
40552,"cluster1"
43103,"cluster1"
51202,"cluster1"
50270,"cluster1"
46987,"cluster1"
44216,"cluster1"
42186,"cluster1"
53230,"cluster1"
46402,"cluster1"
44874,"cluster1"
42146,"cluster1"
49259,"cluster1"
49112,"cluster1"
47923,"cluster1"
42084,"cluster1"
34955,"cluster1"
40755,"cluster1"
43033,"cluster1"
49113,"cluster1"
39196,"cluster1"
40689,"cluster1"
43158,"cluster1"
43810,"cluster1"
41771,"cluster1"
37400,"cluster1"
38874,"cluster1"
38477,"cluster1"
38324,"cluster1"
43803,"cluster1"
33728,"cluster1"
39115,"cluster1"
55505,"cluster1"
40528,"cluster1"
39535,"cluster1"
41564,"cluster1"
38368,"cluster1"
35587,"cluster1"
38365,"cluster1"
39582,"cluster1"
43774,"cluster1"
53517,"cluster1"
42317,"cluster1"
46171,"cluster1"
51823,"cluster1"
40500,"cluster1"
43824,"cluster1"
42453,"cluster1"
42716,"cluster1"
40096,"cluster1"
43334,"cluster1"
40616,"cluster1"
37802,"cluster1"
41428,"cluster1"
37983,"cluster1"
49723,"cluster1"
38913,"cluster1"
50304,"cluster1"
46825,"cluster1"
47817,"cluster1"
42030,"cluster1"
41854,"cluster1"
47711,"cluster1"
36259,"cluster1"
43224,"cluster1"
47334,"cluster1"
40155,"cluster1"
36714,"cluster1"
44391,"cluster1"
42690,"cluster1"
44817,"cluster1"
49483,"cluster1"
36014,"cluster1"
48884,"cluster1"
40194,"cluster1"
38650,"cluster1"
42705,"cluster1"
36914,"cluster1"
35366,"cluster1"
48117,"cluster1"
51615,"cluster1"
44351,"cluster1"
44562,"cluster1"
41894,"cluster1"
44884,"cluster1"
47526,"cluster1"
40237,"cluster1"
41885,"cluster1"
39786,"cluster1"
49920,"cluster1"
45186,"cluster1"
44348,"cluster1"
42970,"cluster1"
40085,"cluster1"
37376,"cluster1"
41632,"cluster1"
40361,"cluster1"
36944,"cluster1"
43376,"cluster1"
41096,"cluster1"
47277,"cluster1"
36449,"cluster1"
48326,"cluster1"
38227,"cluster1"
48215,"cluster1"
34474,"cluster1"
41809,"cluster1"
43326,"cluster1"
38941,"cluster1"
48698,"cluster1"
48985,"cluster1"
44831,"cluster1"
50267,"cluster1"
39928,"cluster1"
33591,"cluster1"
50521,"cluster1"
43691,"cluster1"
44041,"cluster1"
47822,"cluster1"
33983,"cluster1"
50120,"cluster1"
35907,"cluster1"
38134,"cluster1"
34561,"cluster1"
45031,"cluster1"
41734,"cluster1"
46256,"cluster1"
46981,"cluster1"
45376,"cluster1"
46302,"cluster1"
36027,"cluster1"
41991,"cluster1"
38759,"cluster1"
39499,"cluster1"
36350,"cluster1"
39108,"cluster1"
40260,"cluster1"
53113,"cluster1"
46455,"cluster1"
48112,"cluster1"
46048,"cluster1"
42882,"cluster1"
45455,"cluster1"
44292,"cluster1"
46842,"cluster1"
43800,"cluster1"
43975,"cluster1"
44130,"cluster1"
50562,"cluster1"
46346,"cluster1"
39235,"cluster1"
42151,"cluster1"
46291,"cluster1"
48059,"cluster1"
50472,"cluster1"
46893,"cluster1"
35239,"cluster1"
49419,"cluster1"
36450,"cluster1"
47599,"cluster1"
45195,"cluster1"
38924,"cluster1"
35809,"cluster1"
41001,"cluster1"
48647,"cluster1"
35404,"cluster1"
49419,"cluster1"
46234,"cluster1"
45498,"cluster1"
46716,"cluster1"
46075,"cluster1"
39161,"cluster1"
34504,"cluster1"
42302,"cluster1"
51611,"cluster1"
44137,"cluster1"
42512,"cluster1"
43728,"cluster1"
41894,"cluster1"
45620,"cluster1"
45053,"cluster1"
41659,"cluster1"
37937,"cluster1"
46304,"cluster1"
33991,"cluster1"
37637,"cluster1"
45631,"cluster1"
44941,"cluster1"
38990,"cluster1"
40658,"cluster1"
41675,"cluster1"
42601,"cluster1"
46279,"cluster1"
34223,"cluster1"
45057,"cluster1"
39657,"cluster1"
50524,"cluster1"
46515,"cluster1"
43632,"cluster1"
48058,"cluster1"
46200,"cluster1"
47365,"cluster1"
43486,"cluster1"
54007,"cluster1"
44978,"cluster1"
46643,"cluster1"
40928,"cluster1"
41909,"cluster1"
43650,"cluster1"
35144,"cluster1"
44255,"cluster1"
40951,"cluster1"
42821,"cluster1"
33918,"cluster1"
41134,"cluster1"
33676,"cluster1"
49867,"cluster1"
42543,"cluster1"
46722,"cluster1"
47779,"cluster1"
43728,"cluster1"
38639,"cluster1"
38626,"cluster1"
45828,"cluster1"
42507,"cluster1"
52013,"cluster1"
40599,"cluster1"
39491,"cluster1"
43712,"cluster1"
49530,"cluster1"
54633,"cluster1"
43998,"cluster1"
37975,"cluster1"
54708,"cluster1"
44102,"cluster1"
41403,"cluster1"
44354,"cluster1"
38999,"cluster1"
42563,"cluster1"
46691,"cluster1"
38682,"cluster1"
43669,"cluster1"
44769,"cluster1"
45616,"cluster1"
41629,"cluster1"
35859,"cluster1"
49131,"cluster1"
43153,"cluster1"
39912,"cluster1"
46152,"cluster1"
44397,"cluster1"
39660,"cluster1"
48421,"cluster1"
38013,"cluster1"
42100,"cluster1"
46195,"cluster1"
43083,"cluster1"
47485,"cluster1"
45460,"cluster1"
41137,"cluster1"
46597,"cluster1"
40857,"cluster1"
36140,"cluster1"
43744,"cluster1"
44362,"cluster1"
33960,"cluster1"
44279,"cluster1"
35982,"cluster1"
46010,"cluster1"
49713,"cluster1"
45923,"cluster1"
48550,"cluster1"
38414,"cluster1"
52196,"cluster1"
41164,"cluster1"
44312,"cluster1"
42060,"cluster1"
46044,"cluster1"
50095,"cluster1"
46218,"cluster1"
44655,"cluster1"
44695,"cluster1"
45834,"cluster1"
38308,"cluster1"
39175,"cluster1"
43444,"cluster1"
46266,"cluster1"
42741,"cluster1"
46112,"cluster1"
45670,"cluster1"
