"geneName","teName","coef","pvalue","padj","pair","kznf_age","te_age","link_age","family_id","class_id"
"ZNF33A","L1MA2",-0.752730741370734,6.70724888010725e-07,3.6808856367718e-05,"L1MA2:ZNF33A","old","old","old","L1","LINE"
"ZNF33A","L1MEc",-0.756387723063094,5.51013279614669e-07,3.24647240001007e-05,"L1MEc:ZNF33A","old","old","old","L1","LINE"
"ZNF136","L1M1",-0.737059202108585,1.50163687742027e-06,6.29539104537105e-05,"L1M1:ZNF136","old","old","old","L1","LINE"
"ZNF136","L1M2c",-0.784361441510117,1.08455496931149e-07,1.09678617525461e-05,"L1M2c:ZNF136","old","old","old","L1","LINE"
"ZNF136","L1M4c",-0.774001880820054,2.03341313081635e-07,1.66798304970873e-05,"L1M4c:ZNF136","old","old","old","L1","LINE"
"ZNF136","L1MCa",-0.809651098989475,2.00338467966006e-08,3.64103433996308e-06,"L1MCa:ZNF136","old","old","old","L1","LINE"
"ZNF136","L1MDa",-0.780459026072208,1.37971512523888e-07,1.29313198275358e-05,"L1MDa:ZNF136","old","old","old","L1","LINE"
"ZNF136","L1MEc",-0.754717446569561,6.03033395369908e-07,3.43832925526054e-05,"L1MEc:ZNF136","old","old","old","L1","LINE"
"ZNF136","L1MEf",-0.722133119435496,3.07598246532625e-06,0.0001019357369123,"L1MEf:ZNF136","old","old","old","L1","LINE"
"ZNF33B","LTR67B",0.791941738980675,6.69816183313725e-08,8.00825983150796e-06,"LTR67B:ZNF33B","old","old","old","ERVL","LTR"
"ZNF441","AluY",-0.772386129368239,2.23624284834326e-07,1.77703789621866e-05,"AluY:ZNF441","old","old","old","Alu","SINE"
"ZNF441","AluYc",-0.766177396975741,3.19994670524064e-07,2.26825175168105e-05,"AluYc:ZNF441","old","old","old","Alu","SINE"
"ZNF441","MER66B",0.799168685973153,4.15228867245907e-08,5.89905709596621e-06,"MER66B:ZNF441","old","young","young","ERV1","LTR"
"ZNF786","AluYc",-0.846378012328013,1.04370944219818e-09,6.03869504820811e-07,"AluYc:ZNF786","old","old","old","Alu","SINE"
"ZNF786","HERVK3-int",0.827850634880259,5.05202513861028e-09,1.51662997524209e-06,"HERVK3-int:ZNF786","old","old","old","ERVK","LTR"
"ZNF786","MER21C",0.791627603208844,6.83594132501757e-08,8.09795933106545e-06,"MER21C:ZNF786","old","old","old","ERVL","LTR"
"ZNF786","THE1B-int",0.858722453217847,3.23973761528532e-10,3.19546063975409e-07,"THE1B-int:ZNF786","old","old","old","ERVL-MaLR","LTR"
"ZNF675","MSTA-int",0.828442790142227,4.81775667796254e-09,1.47259842603856e-06,"MSTA-int:ZNF675","old","old","old","ERVL-MaLR","LTR"
"ZNF675","THE1A-int",0.853665514387502,5.2993485581671e-10,4.01134671852425e-07,"THE1A-int:ZNF675","old","old","old","ERVL-MaLR","LTR"
"ZNF675","THE1B-int",0.844707751267422,1.21315643943151e-09,6.57896041572999e-07,"THE1B-int:ZNF675","old","old","old","ERVL-MaLR","LTR"
"ZNF675","THE1C-int",0.782725994814639,1.20038351298297e-07,1.17439654886097e-05,"THE1C-int:ZNF675","old","old","old","ERVL-MaLR","LTR"
"ZNF675","THE1D-int",0.865390716802239,1.64352641420454e-10,2.15157277092757e-07,"THE1D-int:ZNF675","old","young","young","ERVL-MaLR","LTR"
"ZNF84","L1P1",-0.762364149473374,3.9664385200848e-07,2.61608579322524e-05,"L1P1:ZNF84","old","old","old","L1","LINE"
"ZNF84","L1P2",-0.820895135019481,8.70977092816621e-09,2.13113344639082e-06,"L1P2:ZNF84","old","old","old","L1","LINE"
"ZNF334","ERVL-B4-int",0.72637143291487,2.52112239621798e-06,8.92760666544898e-05,"ERVL-B4-int:ZNF334","old","old","old","ERVL","LTR"
"ZNF425","L1MA3",-0.738194914729111,1.41913718158745e-06,6.05437174252207e-05,"L1MA3:ZNF425","old","old","old","L1","LINE"
"ZNF425","MSTB1",0.756938536210126,5.34778426729626e-07,3.1817949477407e-05,"MSTB1:ZNF425","old","old","old","ERVL-MaLR","LTR"
"ZNF736","HUERS-P3b-int",0.78690267524235,9.24745704706994e-08,9.8324578084032e-06,"HUERS-P3b-int:ZNF736","old","old","old","ERV1","LTR"
"ZNF736","MSTA-int",0.691600643189766,1.16761670423018e-05,0.00025400825676985,"MSTA-int:ZNF736","old","old","old","ERVL-MaLR","LTR"
"ZNF432","HERVK3-int",-0.701985788489632,7.55576408435788e-06,0.00018858499133809,"HERVK3-int:ZNF432","old","old","old","ERVK","LTR"
"ZNF432","MER57C1",-0.710331241232231,5.25466889716638e-06,0.00014646085493488,"MER57C1:ZNF432","old","old","old","ERV1","LTR"
"ZNF10","L1PA7",-0.769880344865704,2.58763563334625e-07,1.95505644367009e-05,"L1PA7:ZNF10","old","old","old","L1","LINE"
"ZNF10","MLT1B",0.804359673350885,2.91005969035631e-08,4.61950524372762e-06,"MLT1B:ZNF10","old","old","old","ERVL-MaLR","LTR"
"ZNF2","LTR12C",0.728631197220644,2.26404748155101e-06,8.28628234285514e-05,"LTR12C:ZNF2","old","young","young","ERV1","LTR"
